eventID	taxonID	scientificName
170459	SH189359.07FU	SH189359.07FU
175340	SH189359.07FU	SH189359.07FU
176529	SH189359.07FU	SH189359.07FU
618143	SH189359.07FU	SH189359.07FU
868434	SH189359.07FU	SH189359.07FU
868435	SH189359.07FU	SH189359.07FU
868437	SH189359.07FU	SH189359.07FU
868442	SH189359.07FU	SH189359.07FU
235116	SH189359.07FU	SH189359.07FU
1398780	SH189359.07FU	SH189359.07FU
1400508	SH189359.07FU	SH189359.07FU
1383908	SH189359.07FU	SH189359.07FU
1383914	SH189359.07FU	SH189359.07FU
1463663	SH189359.07FU	SH189359.07FU
1463782	SH189359.07FU	SH189359.07FU
1463875	SH189359.07FU	SH189359.07FU
1465008	SH189359.07FU	SH189359.07FU
1465035	SH189359.07FU	SH189359.07FU
1615090	SH189359.07FU	SH189359.07FU
1956117	SH189359.07FU	SH189359.07FU
296578	SH189402.07FU	SH189402.07FU
484	SH189402.07FU	SH189402.07FU
6013	SH189402.07FU	SH189402.07FU
40358	SH189402.07FU	SH189402.07FU
554074	SH189402.07FU	SH189402.07FU
253692	SH189455.07FU	SH189455.07FU
401	SH189455.07FU	SH189455.07FU
903228	SH189455.07FU	SH189455.07FU
594	SH189428.07FU	SH189428.07FU
897556	SH189428.07FU	SH189428.07FU
897551	SH189428.07FU	SH189428.07FU
897535	SH189428.07FU	SH189428.07FU
119	SH189385.07FU	SH189385.07FU
875961	SH189385.07FU	SH189385.07FU
875982	SH189385.07FU	SH189385.07FU
876000	SH189385.07FU	SH189385.07FU
123	SH189385.07FU	SH189385.07FU
158077	SH189385.07FU	SH189385.07FU
197978	SH189385.07FU	SH189385.07FU
1463723	SH189385.07FU	SH189385.07FU
270749	SH189497.07FU	SH189497.07FU
79794	SH189497.07FU	SH189497.07FU
66	SH189474.07FU	SH189474.07FU
933944	SH189474.07FU	SH189474.07FU
19017	SH189474.07FU	SH189474.07FU
934074	SH189474.07FU	SH189474.07FU
933854	SH189474.07FU	SH189474.07FU
56	SH189429.07FU	SH189429.07FU
933180	SH189429.07FU	SH189429.07FU
933403	SH189429.07FU	SH189429.07FU
933698	SH189429.07FU	SH189429.07FU
905965	SH189351.07FU	SH189351.07FU
926645	SH189351.07FU	SH189351.07FU
403939	SH189351.07FU	SH189351.07FU
425	SH189351.07FU	SH189351.07FU
424	SH189351.07FU	SH189351.07FU
428	SH189351.07FU	SH189351.07FU
423	SH189351.07FU	SH189351.07FU
2876	SH189351.07FU	SH189351.07FU
24060	SH189351.07FU	SH189351.07FU
936423	SH189351.07FU	SH189351.07FU
936426	SH189351.07FU	SH189351.07FU
88272	SH189351.07FU	SH189351.07FU
88273	SH189351.07FU	SH189351.07FU
88274	SH189351.07FU	SH189351.07FU
88258	SH189351.07FU	SH189351.07FU
88262	SH189351.07FU	SH189351.07FU
88264	SH189351.07FU	SH189351.07FU
88265	SH189351.07FU	SH189351.07FU
88267	SH189351.07FU	SH189351.07FU
88254	SH189351.07FU	SH189351.07FU
88257	SH189351.07FU	SH189351.07FU
943588	SH189351.07FU	SH189351.07FU
123596	SH189351.07FU	SH189351.07FU
88287	SH189351.07FU	SH189351.07FU
88297	SH189351.07FU	SH189351.07FU
88298	SH189351.07FU	SH189351.07FU
88301	SH189351.07FU	SH189351.07FU
88299	SH189351.07FU	SH189351.07FU
88305	SH189351.07FU	SH189351.07FU
88306	SH189351.07FU	SH189351.07FU
88310	SH189351.07FU	SH189351.07FU
88311	SH189351.07FU	SH189351.07FU
88313	SH189351.07FU	SH189351.07FU
88315	SH189351.07FU	SH189351.07FU
88317	SH189351.07FU	SH189351.07FU
88319	SH189351.07FU	SH189351.07FU
88320	SH189351.07FU	SH189351.07FU
88321	SH189351.07FU	SH189351.07FU
88324	SH189351.07FU	SH189351.07FU
88325	SH189351.07FU	SH189351.07FU
88329	SH189351.07FU	SH189351.07FU
88330	SH189351.07FU	SH189351.07FU
88331	SH189351.07FU	SH189351.07FU
88332	SH189351.07FU	SH189351.07FU
88333	SH189351.07FU	SH189351.07FU
88336	SH189351.07FU	SH189351.07FU
88337	SH189351.07FU	SH189351.07FU
88339	SH189351.07FU	SH189351.07FU
88340	SH189351.07FU	SH189351.07FU
158834	SH189351.07FU	SH189351.07FU
88261	SH189351.07FU	SH189351.07FU
88338	SH189351.07FU	SH189351.07FU
169030	SH189351.07FU	SH189351.07FU
169756	SH189351.07FU	SH189351.07FU
172818	SH189351.07FU	SH189351.07FU
1465127	SH189351.07FU	SH189351.07FU
1465129	SH189351.07FU	SH189351.07FU
1465131	SH189351.07FU	SH189351.07FU
1526908	SH189351.07FU	SH189351.07FU
903257	SH189437.07FU	SH189437.07FU
903268	SH189437.07FU	SH189437.07FU
903309	SH189437.07FU	SH189437.07FU
157799	SH189437.07FU	SH189437.07FU
40268	SH189426.07FU	SH189426.07FU
109238	SH189426.07FU	SH189426.07FU
61	SH189436.07FU	SH189436.07FU
40297	SH189436.07FU	SH189436.07FU
367560	SH189436.07FU	SH189436.07FU
109311	SH189436.07FU	SH189436.07FU
364	SH189462.07FU	SH189462.07FU
38530	SH189462.07FU	SH189462.07FU
100138	SH189462.07FU	SH189462.07FU
263314	SH189450.07FU	SH189450.07FU
109065	SH189450.07FU	SH189450.07FU
264241	SH189450.07FU	SH189450.07FU
401	SH189473.07FU	SH189473.07FU
395	SH189473.07FU	SH189473.07FU
61413	SH189473.07FU	SH189473.07FU
236148	SH189473.07FU	SH189473.07FU
1401798	SH189473.07FU	SH189473.07FU
169948	SH189480.07FU	SH189480.07FU
114484	SH189465.07FU	SH189465.07FU
169405	SH189465.07FU	SH189465.07FU
172801	SH189465.07FU	SH189465.07FU
200684	SH189465.07FU	SH189465.07FU
1464329	SH189465.07FU	SH189465.07FU
3839	SH189537.07FU	SH189537.07FU
903212	SH189537.07FU	SH189537.07FU
2645	SH189568.07FU	SH189568.07FU
24774	SH189500.07FU	SH189500.07FU
18628	SH189438.07FU	SH189438.07FU
41169	SH189438.07FU	SH189438.07FU
40346	SH189438.07FU	SH189438.07FU
200682	SH189438.07FU	SH189438.07FU
2454	SH189471.07FU	SH189471.07FU
1060863	SH189467.07FU	SH189467.07FU
1060865	SH189467.07FU	SH189467.07FU
1060867	SH189467.07FU	SH189467.07FU
157721	SH189558.07FU	SH189558.07FU
870795	SH189495.07FU	SH189495.07FU
870786	SH189495.07FU	SH189495.07FU
7050	SH189451.07FU	SH189451.07FU
185784	SH189451.07FU	SH189451.07FU
236148	SH189451.07FU	SH189451.07FU
1590529	SH189451.07FU	SH189451.07FU
1590530	SH189451.07FU	SH189451.07FU
1590532	SH189451.07FU	SH189451.07FU
8527	SH189516.07FU	SH189516.07FU
6343	SH189516.07FU	SH189516.07FU
40292	SH189492.07FU	SH189492.07FU
123348	SH189492.07FU	SH189492.07FU
170015	SH189503.07FU	SH189503.07FU
172801	SH189503.07FU	SH189503.07FU
156079	SH189499.07FU	SH189499.07FU
177076	SH189499.07FU	SH189499.07FU
483	SH189563.07FU	SH189563.07FU
80113	SH189563.07FU	SH189563.07FU
199345	SH189563.07FU	SH189563.07FU
235116	SH189563.07FU	SH189563.07FU
235467	SH189563.07FU	SH189563.07FU
1399672	SH189563.07FU	SH189563.07FU
1399673	SH189563.07FU	SH189563.07FU
1528064	SH189563.07FU	SH189563.07FU
1879531	SH189563.07FU	SH189563.07FU
40267	SH189517.07FU	SH189517.07FU
109238	SH189517.07FU	SH189517.07FU
186750	SH189508.07FU	SH189508.07FU
189840	SH189508.07FU	SH189508.07FU
197977	SH189508.07FU	SH189508.07FU
197980	SH189508.07FU	SH189508.07FU
109311	SH189527.07FU	SH189527.07FU
121598	SH189527.07FU	SH189527.07FU
1530790	SH189527.07FU	SH189527.07FU
860488	SH189583.07FU	SH189583.07FU
99439	SH189594.07FU	SH189594.07FU
908413	SH189598.07FU	SH189598.07FU
860495	SH189459.07FU	SH189459.07FU
860486	SH189459.07FU	SH189459.07FU
863505	SH189459.07FU	SH189459.07FU
121069	SH189602.07FU	SH189602.07FU
903233	SH189611.07FU	SH189611.07FU
903258	SH189621.07FU	SH189621.07FU
177076	SH189625.07FU	SH189625.07FU
21635	SH189626.07FU	SH189626.07FU
40288	SH189629.07FU	SH189629.07FU
860497	SH189630.07FU	SH189630.07FU
169039	SH189649.07FU	SH189649.07FU
58	SH189659.07FU	SH189659.07FU
169948	SH189574.07FU	SH189574.07FU
275347	SH189681.07FU	SH189681.07FU
3839	SH189691.07FU	SH189691.07FU
170772	SH189697.07FU	SH189697.07FU
167648	SH189698.07FU	SH189698.07FU
157802	SH189715.07FU	SH189715.07FU
263286	SH189718.07FU	SH189718.07FU
364	SH189721.07FU	SH189721.07FU
11667	SH189725.07FU	SH189725.07FU
